name,price,services/0,services/1,details/0,details/1,details/2,details/3,details/4,details/5,details/6,details/7,details/8,response_details/0,response_details/1,response_details/2,response_details/3,response_details/4,response_details/5,response_details/6,response_details/7,response_details/8,details/9,details/10,response_details/9,response_details/10,services/2,services/3,services/4,services/5,services/6,services/7
Volkswagen Voyage 1.0 12V MPI TOTAL,63.899,Aceita troca,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Volkswagen,Voyage,2022,1.0 12V MPI TOTAL,Prateado,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,37000 km,,,,,,
Fiat Uno Uno Way 1.0 Firefly (Flex),44.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Fiat,Uno,2017,Uno Way 1.0 Firefly (Flex),Branco,Gasolina e álcool,4,Manual,49000 km,,,,,,,,,,
Fiat Mobi 1.0 8V EVO LIKE.,44.469,Aceita troca,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Fiat,Mobi,2018,1.0 8V EVO LIKE.,Branco,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,71000 km,,,,,,
Fiat Idea 1.4 Attractive Flex 5p,38.890,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Fiat,Idea,2014,1.4 Attractive Flex 5p,Prateado,Gasolina e álcool,5,Manual,1.4,Tipo de carroceria,Quilômetros,Monovolume,83000 km,,,,,,
Chevrolet Celta 1.0 Lt Flex Power 5p,34.888,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Celta,2012,1.0 Lt Flex Power 5p,Prateado,Gasolina e álcool,5,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,125000 km,,,,,,
Chevrolet S-10 2.4 MPFI LTZ 4X2 CD 8V,92.890,Aceita troca,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,S-10,2014,2.4 MPFI LTZ 4X2 CD 8V,Preto,Gasolina e álcool,4,Manual,2.4,Tipo de carroceria,Quilômetros,Pick-Up,117400 km,,,,,,
Hyundai Tucson 1.6 16V T-GDI GLS,119.900,Aceita troca,Único dono,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Hyundai,Tucson,2019,1.6 16V T-GDI GLS,Branco,Gasolina,4,Automática,1.6,Tipo de carroceria,Quilômetros,SUV,86000 km,,,,,,
Hyundai HB20S HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,60.890,Aceita troca,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Hyundai,HB20S,2016,HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,Preto,Gasolina e álcool,4,Automática,65000 km,,,,,,,,,,
Renault Sandero 1.6 EXPRESSION 8V,29.900,Aceita troca,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Renault,Sandero,2009,1.6 EXPRESSION 8V,Cinza-escuro,Gasolina e álcool,4,Manual,1.6,Tipo de carroceria,Quilômetros,Hatch,151678 km,,,,,,
Renault Sandero 2.0 RS 16V,89.890,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Renault,Sandero,2022,2.0 RS 16V,Branco,Gasolina e álcool,4,Manual,2.0,Tipo de carroceria,Quilômetros,Hatch,6427 km,,,,,,
Volkswagen Spacefox 1.6 Sportline Total Flex 5p,39.999,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Volkswagen,Spacefox,2011,1.6 Sportline Total Flex 5p,Vermelho,Gasolina e álcool,5,Manual,1.6,Tipo de carroceria,Quilômetros,Perua,112000 km,Com garantia mecânica,,,,,
Fiat Palio Adventure 1.8 16v Locker Flex 5p,44.999,Tours virtuais,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Fiat,Palio Adventure,2011,1.8 16v Locker Flex 5p,Preto,Gasolina e álcool,5,Manual,1.8,Tipo de carroceria,Quilômetros,Perua,109000 km,Único dono,Com IPVA pago,Com garantia mecânica,,,
Fiat Uno 1.0 Drive Flex 5p,49.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Fiat,Uno,2019,1.0 Drive Flex 5p,Branco,Gasolina e álcool,5,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,53000 km,,,,,,
