,price,com_ipva_pago,aceita_troca,entrega_a_domicilio,unico_dono,com_preco_negociavel,higienizacao_completa,nao_aceita_troca,com_garantia_mecanica,test_drive_a_domicilio,marca,modelo,ano,cor,tipo_de_combustivel,motor,tipo_de_transmissao,quilometros,portas
0,156990.0,True,True,False,False,False,False,False,False,False,Hyundai,Tucson,2020,Branco,Gasolina,1.6,Automática,35000,4
1,85990.0,False,True,False,False,False,True,False,False,False,Chevrolet,Onix,2023,Cinza-escuro,Gasolina e álcool,1.0,Manual,65000,4
2,53990.0,False,True,False,False,False,False,False,False,False,Ford,Ka,2018,Branco,Gasolina e álcool,1.0,Manual,65000,4
4,85990.0,False,True,False,False,False,True,False,False,False,Jeep,Renegade,2018,Cinza-escuro,Gasolina e álcool,1.8,Automática,65000,4
5,103890.0,False,True,False,False,False,False,False,False,False,Jeep,Compass,2017,Prateado,Gasolina e álcool,2.0,Automática,65000,4
6,165990.0,False,False,False,True,False,False,False,False,False,Jeep,Compass,2023,Preto,Gasolina e álcool,1.3,Automática,65000,4
7,50900.0,True,True,False,False,False,False,False,False,False,Hyundai,HB20,2015,Branco,Gasolina e álcool,1.0,Manual,65000,4
8,66900.0,True,True,False,False,False,False,False,False,False,Toyota,Corolla,2013,Prateado,Gasolina e álcool,2.0,Automática,65000,4
9,66899.0,False,False,False,False,False,False,False,False,False,Toyota,Corolla,2013,Prateado,Gasolina e álcool,2.0,Automática,150000,4
10,60500.0,False,True,True,False,True,False,False,True,True,Fiat,Strada,2019,Prateado,Gasolina e álcool,1.4,Manual,65000,2
11,65900.0,False,False,False,False,False,False,False,False,False,Fiat,Strada,2020,Branco,Gasolina e álcool,1.4,Manual,65000,2
12,189990.0,False,False,False,False,False,False,False,False,False,Renault,Master,2018,Branco,Diesel,2.3,Manual,65000,5
13,68980.0,False,False,False,False,False,False,False,False,False,Renault,Master,2006,Prateado,Diesel,2.5,Manual,65000,5
14,91900.0,False,True,False,False,False,False,False,False,False,Fiat,Toro,2017,Branco,Gasolina e álcool,1.8,Automática,65000,4
15,135900.0,False,True,False,False,False,False,False,False,False,Fiat,Toro,2019,Branco,Diesel,2.0,Automática,65000,4
16,61900.0,False,True,False,False,False,False,False,False,False,Volkswagen,Up!,2018,Branco,Gasolina e álcool,1.0,Manual,65000,4
17,63899.0,False,True,False,False,False,False,False,False,False,Volkswagen,Voyage,2022,Prateado,Gasolina e álcool,1.0,Manual,65000,4
18,44900.0,False,False,False,False,False,False,False,False,False,Fiat,Uno,2017,Branco,Gasolina e álcool,1.0,Manual,49000,4
19,44469.0,False,True,False,False,False,False,False,False,False,Fiat,Mobi,2018,Branco,Gasolina e álcool,1.0,Manual,65000,4
20,38890.0,False,False,False,False,False,False,False,False,False,Fiat,Idea,2014,Prateado,Gasolina e álcool,1.4,Manual,65000,5
21,34888.0,True,True,False,False,False,False,False,False,False,Chevrolet,Celta,2012,Prateado,Gasolina e álcool,1.0,Manual,65000,5
22,92890.0,False,True,False,False,False,False,False,False,False,Chevrolet,S-10,2014,Preto,Gasolina e álcool,2.4,Manual,65000,4
23,119900.0,False,True,False,True,False,False,False,False,False,Hyundai,Tucson,2019,Branco,Gasolina,1.6,Automática,65000,4
24,60890.0,False,True,False,False,False,False,False,False,False,Hyundai,HB20S,2016,Preto,Gasolina e álcool,20.0,Automática,65000,4
25,29900.0,False,True,False,False,False,False,False,False,False,Renault,Sandero,2009,Cinza-escuro,Gasolina e álcool,1.6,Manual,65000,4
26,89890.0,True,True,False,False,False,False,False,False,False,Renault,Sandero,2022,Branco,Gasolina e álcool,2.0,Manual,65000,4
27,39999.0,True,True,False,False,False,False,False,True,False,Volkswagen,Spacefox,2011,Vermelho,Gasolina e álcool,1.6,Manual,65000,5
28,44999.0,True,True,False,True,False,False,False,True,False,Fiat,Palio Adventure,2011,Preto,Gasolina e álcool,1.8,Manual,65000,5
29,49900.0,False,False,False,False,False,False,False,False,False,Fiat,Uno,2019,Branco,Gasolina e álcool,1.0,Manual,65000,5
30,60867.0,False,False,False,False,False,False,False,False,False,Fiat,Argo,2020,Cinza-escuro,Gasolina e álcool,1.0,Manual,65000,5
31,54900.0,False,False,False,False,False,False,False,False,False,Fiat,Strada,2017,Branco,Gasolina e álcool,1.4,Manual,65000,2
32,73990.0,False,False,False,False,False,False,False,False,False,Fiat,Strada,2018,Vermelho,Gasolina e álcool,1.4,Manual,65000,2
33,78900.0,True,True,False,True,True,False,False,True,False,Toyota,Yaris,2019,Prateado,Gasolina e álcool,1.3,Automática,65000,5
34,89899.0,False,True,False,False,False,False,False,False,False,Toyota,Yaris,2021,Prateado,Gasolina e álcool,1.5,Automática,65000,4
35,90990.0,False,True,False,False,False,True,False,False,False,Volkswagen,Golf,2016,Branco,Gasolina,1.4,Automática,65000,4
36,50900.0,False,False,False,False,False,False,False,False,False,Volkswagen,Fox,2018,Branco,Gasolina e álcool,1.6,Manual,65000,4
37,50900.0,True,True,False,False,False,True,False,False,False,Volkswagen,Golf,2011,Prateado,Gasolina e álcool,2.0,Automática,65000,4
38,45900.0,False,True,False,False,False,True,False,False,False,Volkswagen,Up!,2017,Preto,Gasolina e álcool,1.0,Manual,65000,4
39,42990.0,True,True,False,False,False,False,False,False,False,Volkswagen,Up!,2015,Vermelho,Gasolina e álcool,1.0,Manual,65000,4
40,46900.0,False,True,False,False,False,True,False,False,False,Volkswagen,Fox,2015,Prateado,Gasolina e álcool,1.6,Manual,65000,4
41,44990.0,False,True,False,False,False,False,False,False,False,Volkswagen,Gol,2016,Branco,Gasolina e álcool,1.0,Manual,65000,4
42,48900.0,False,False,False,False,False,False,False,False,False,Volkswagen,Gol,2021,Branco,Gasolina e álcool,1.0,Manual,65000,4
43,24800.0,False,False,False,False,False,False,False,False,False,Volkswagen,Fox,2010,Preto,Gasolina e álcool,1.0,Manual,65000,4
44,17900.0,True,True,False,False,False,True,False,False,False,Volkswagen,Gol,2004,Cinza-escuro,Gasolina,1.0,Manual,65000,4
45,54790.0,False,True,False,False,True,False,False,True,False,Volkswagen,Up!,2018,Preto,Gasolina e álcool,1.0,Manual,65000,4
46,66470.0,False,True,False,False,False,False,False,False,False,Volkswagen,Cross Up,2018,Branco,Gasolina e álcool,1.0,Manual,65000,4
47,44990.0,False,False,False,False,False,False,False,False,False,Volkswagen,Gol,2017,Prateado,Gasolina e álcool,1.6,Manual,65000,4
48,70890.0,False,True,False,False,False,False,False,False,False,Volkswagen,Polo,2019,Vermelho,Gasolina e álcool,1.6,Manual,65000,4
49,47900.0,False,True,False,False,False,False,False,False,False,Volkswagen,Up!,2018,Branco,Gasolina e álcool,1.0,Manual,65000,4
50,38600.0,False,True,False,False,False,False,False,False,False,Volkswagen,Fox,2013,Branco,Gasolina e álcool,1.0,Manual,65000,4
51,45900.0,False,True,False,True,False,False,False,False,False,Volkswagen,Gol,2018,Branco,Gasolina e álcool,1.0,Manual,65000,4
52,112890.0,False,True,False,False,False,False,False,False,False,Volkswagen,Golf,2017,Branco,Gasolina e álcool,1.4,Automática,65000,4
53,27890.0,True,True,False,False,False,False,False,False,False,Volkswagen,Fox,2009,Cinza-escuro,Gasolina e álcool,1.0,Manual,65000,4
54,67900.0,True,True,False,True,False,False,False,False,False,Volkswagen,Up!,2019,Preto,Gasolina e álcool,1.0,Manual,65000,4
55,40990.0,False,False,False,False,False,False,False,False,False,Volkswagen,Up!,2015,Vermelho,Gasolina e álcool,1.0,Manual,65000,4
56,77900.0,True,True,False,False,False,False,False,False,False,Volkswagen,Polo,2019,Branco,Gasolina e álcool,1.0,Automática,65000,4
57,30020.0,False,False,False,False,False,False,False,False,False,Volkswagen,Fox,2009,Preto,Gasolina e álcool,1.6,Manual,65000,5
58,49900.0,False,True,False,False,False,False,False,False,False,Volkswagen,Fox,2015,Vermelho,Gasolina e álcool,1.6,Manual,65000,4
